ID,Family,Genus,Species,TL_mm,BM_g,ABS_g,ABP_g,ARRV_g,ADS_g,ADP_g,ARRD_g
FMNH 61658,Pomacentridae,Abudefduf,saxatilis,120,32.1,0.054,0.0757,0.022,0.065,0.0703,0.0122
FMNH 61660,Pomacentridae,Abudefduf,saxatilis,128,43.3,0.0528,0.0673,0.0225,0.0602,0.0607,0.0098
FMNH 48155,Pomacentridae,Abudefduf,saxatilis,150,56.2,0.0587,0.072,0.024,0.06,0.0564,0.0131
FMNH 42553,Embiotociade,Amphistichus,argenteus,109,16.4,0.0204,0.0385,0.0124,0.0191,0.0462,0.0061
FMNH 42588,Embiotociade,Amphistichus,argenteus,111,13.9,0.0238,0.0446,0.0125,0.022,0.0367,0.0076
FMNH 42553,Embiotociade,Amphistichus,argenteus,115,19.4,0.0298,0.0467,0.0164,0.0231,0.0401,0.01
LACM-W67-149A,Embiotociade,Amphistichus,argenteus,188,96.4,0.1283,0.2055,0.0772,0.1589,0.1877,0.0458
FMNH 44099,Pomacanthidae,Centropyge,flavissimus,71,8.6,0.0116,0.014,0.0034,0.0076,0.0101,0.0019
FMNH 44099,Pomacanthidae,Centropyge,flavissimus,76,11.1,0.0153,0.0171,0.0055,0.0138,0.0138,0.0017
FMNH 16287,Pomacanthidae,Centropyge,flavissimus,122,49.1,0.0638,0.0777,0.0204,0.0484,0.0462,0.0061
FMNH 70267,Chaetodontidae,Chaetodon,miliaris,137,41.2,0.056,0.0405,0.0116,0.0359,0.034,0.0067
FMNH 70267,Chaetodontidae,Chaetodon,miliaris,146,55.8,0.0666,0.0552,0.0187,0.0396,0.0462,0.0075
FMNH 111974,Labridae,Cheilinus,fasciatus,230,234.6,0.1052,0.1448,0.042,0.1239,0.202,0.0282
FMNH 111972,Labridae,Cheilinus,fasciatus,247,224.7,0.1673,0.2832,0.0723,0.219,0.2675,0.0473
FMNH 111973,Labridae,Cheilinus,fasciatus,260,389.2,0.2009,0.2902,0.0972,0.2805,0.3942,0.061
FMNH 75894,Acanthuridae,Ctenochaetus,striatus,166,69.9,0.1686,0.2326,0.0762,0.1842,0.1753,0.046
FMNH 75894,Acanthuridae,Ctenochaetus,striatus,178,77.9,0.2025,0.2378,0.075,0.2142,0.1684,0.0473
FMNH 74045,Acanthuridae,Ctenochaetus,striatus,190,93.0,0.1839,0.2607,0.0906,0.2172,0.1769,0.0461
FMNH 111975,Labridae,Gomphosus,varius,198,76.0,0.0987,0.1293,0.0528,0.1096,0.2007,0.0605
FMNH 111977,Labridae,Gomphosus,varius,240,123.6,0.2427,0.4103,0.1523,0.2864,0.6172,0.1625
FMNH 111976,Labridae,Gomphosus,varius,243,126.0,0.1777,0.315,0.1328,0.2659,0.55,0.166
FMNH 63635 L,Mullidae,Parupeneus,pleurostigma,174,52.9,0.0654,0.0722,0.0206,0.0718,0.1066,0.0155
FMNH 63635 R,Mullidae,Parupeneus,pleurostigma,174,52.9,0.0672,0.0753,0.0176,0.0733,0.1003,0.0116
FNQ-93-63,Labridae,Scarus,frenatus,213,165.2,0.1657,0.3358,0.1384,0.2589,0.3434,0.1392
FMNH 111980,Labridae,Scarus,frenatus,340,858.3,0.7188,1.3811,0.5118,1.0746,1.6951,0.4768
FMNH 110756,Labridae,Stethojulis,trilineata,120,22.5,0.0608,0.2487,0.0819,0.1092,0.2382,0.076
FMNH 111978,Labridae,Stethojulis,trilineata,139,43.0,0.1006,0.4095,0.1363,0.1617,0.4251,0.1247
FMNH 111979,Labridae,Stethojulis,trilineata,148,48.9,0.1077,0.5499,0.1824,0.1886,0.5132,0.164
FMNH 71263,Cichlidae,Thorichthys,meeki,125,22.1,0.0248,0.0112,0.0061,0.0187,0.0268,0.0022
FMNH 104554,Cichlidae,Thorichthys,meeki,130,32.2,0.0217,0.0128,0.0045,0.0153,0.0238,0.0017
FMNH 82601,Cichlidae,Thorichthys,meeki,133,36.4,0.0328,0.0195,0.0073,0.0237,0.0431,0.003
FMNH 46078,Zanclidae,Zanclus,cornutus,124,27.3,0.0381,0.124,0.0425,0.0491,0.1014,0.0266
FMNH 44225,Zanclidae,Zanclus,cornutus,137,61.0,0.4334,1.0876,0.3828,0.3455,0.9645,0.1683
FMNH 46078,Zanclidae,Zanclus,cornutus,155,90.6,0.5627,1.4683,0.5734,0.4276,1.5857,0.2922
