PCA_ID,Genus,Species,ADP_insertion_rays,ADR_insertion_rays,total_rays,nonbranched_rays
1,Abudefduf,saxatilis,2-16,16-18,18,"1-2, 18"
2,Amphistichus,argenteus,2-14,14-29,29,"1-2, 22"
3,Centropyge,flavissimus,2-15,16-17,17,"1-2, 17"
4,Chaetodon,miliaris,2-15,13-15,15,"1-2, 15"
5,Cheilinus,fasciatus,2-10,10-12,12,1-2
6,Ctenochaetus,striatus,2-14,15-17,17,1-2
7,Gomphosus,varius,2-14,14-16,16,1-2
8,Parupeneus,pleurostigma,2-14,10-17,17,1-2
9,Scarus,frenatus,2-11,11-14,14,1-2
10,Stethojulis,trilineata,2-11,12-13,13,1-2
11,Thorichthys,meeki,2-13,12-14,14,"1-3, 12-14"
12,Zanclus,cornutus,2-16,17-18,18,"1-2, 18"
