id,topic,word,part_of_speech,meaning,example,review_day
1,Character,kind,,,I use the word kind.,"1,2,4,7,14,30"
2,Character,honest,,,I use the word honest.,"1,2,4,7,14,30"
3,Character,brave,,,I use the word brave.,"1,2,4,7,14,30"
4,Character,calm,,,I use the word calm.,"1,2,4,7,14,30"
5,Character,careful,,,I use the word careful.,"1,2,4,7,14,30"
6,Character,clever,,,I use the word clever.,"1,2,4,7,14,30"
7,Character,friendly,,,I use the word friendly.,"1,2,4,7,14,30"
8,Character,generous,,,I use the word generous.,"1,2,4,7,14,30"
9,Character,patient,,,I use the word patient.,"1,2,4,7,14,30"
10,Character,polite,,,I use the word polite.,"1,2,4,7,14,30"
11,Character,serious,,,I use the word serious.,"1,2,4,7,14,30"
12,Character,shy,,,I use the word shy.,"1,2,4,7,14,30"
13,Character,strong,,,I use the word strong.,"1,2,4,7,14,30"
14,Character,weak,,,I use the word weak.,"1,2,4,7,14,30"
15,Character,curious,,,I use the word curious.,"1,2,4,7,14,30"
16,Character,lazy,,,I use the word lazy.,"1,2,4,7,14,30"
17,Character,active,,,I use the word active.,"1,2,4,7,14,30"
18,Character,quiet,,,I use the word quiet.,"1,2,4,7,14,30"
19,Character,confident,,,I use the word confident.,"1,2,4,7,14,30"
20,Character,funny,,,I use the word funny.,"1,2,4,7,14,30"
21,Character,helpful,,,I use the word helpful.,"1,2,4,7,14,30"
22,Character,selfish,,,I use the word selfish.,"1,2,4,7,14,30"
23,Character,cheerful,,,I use the word cheerful.,"1,2,4,7,14,30"
24,Character,creative,,,I use the word creative.,"1,2,4,7,14,30"
25,Character,reliable,,,I use the word reliable.,"1,2,4,7,14,30"
26,Character,rude,,,I use the word rude.,"1,2,4,7,14,30"
27,Character,adult,,,I use the word adult.,"1,2,4,7,14,30"
28,Character,child,,,I use the word child.,"1,2,4,7,14,30"
29,Character,person,,,I use the word person.,"1,2,4,7,14,30"
30,Character,man,,,I use the word man.,"1,2,4,7,14,30"
31,Character,woman,,,I use the word woman.,"1,2,4,7,14,30"
32,Character,leader,,,I use the word leader.,"1,2,4,7,14,30"
33,Character,guest,,,I use the word guest.,"1,2,4,7,14,30"
34,Character,customer,,,I use the word customer.,"1,2,4,7,14,30"
35,Character,neighbor,,,I use the word neighbor.,"1,2,4,7,14,30"
36,Character,stranger,,,I use the word stranger.,"1,2,4,7,14,30"
37,Character,hero,,,I use the word hero.,"1,2,4,7,14,30"
38,Character,villain,,,I use the word villain.,"1,2,4,7,14,30"
39,Character,friend,,,I use the word friend.,"1,2,4,7,14,30"
40,Character,enemy,,,I use the word enemy.,"1,2,4,7,14,30"
41,Parts of the Body,head,,,I use the word head.,"1,2,4,7,14,30"
42,Parts of the Body,neck,,,I use the word neck.,"1,2,4,7,14,30"
43,Parts of the Body,shoulder,,,I use the word shoulder.,"1,2,4,7,14,30"
44,Parts of the Body,arm,,,I use the word arm.,"1,2,4,7,14,30"
45,Parts of the Body,elbow,,,I use the word elbow.,"1,2,4,7,14,30"
46,Parts of the Body,hand,,,I use the word hand.,"1,2,4,7,14,30"
47,Parts of the Body,finger,,,I use the word finger.,"1,2,4,7,14,30"
48,Parts of the Body,thumb,,,I use the word thumb.,"1,2,4,7,14,30"
49,Parts of the Body,chest,,,I use the word chest.,"1,2,4,7,14,30"
50,Parts of the Body,back,,,I use the word back.,"1,2,4,7,14,30"
51,Parts of the Body,stomach,,,I use the word stomach.,"1,2,4,7,14,30"
52,Parts of the Body,waist,,,I use the word waist.,"1,2,4,7,14,30"
53,Parts of the Body,leg,,,I use the word leg.,"1,2,4,7,14,30"
54,Parts of the Body,knee,,,I use the word knee.,"1,2,4,7,14,30"
55,Parts of the Body,foot,,,I use the word foot.,"1,2,4,7,14,30"
56,Parts of the Body,toe,,,I use the word toe.,"1,2,4,7,14,30"
57,Parts of the Body,ankle,,,I use the word ankle.,"1,2,4,7,14,30"
58,Parts of the Body,skin,,,I use the word skin.,"1,2,4,7,14,30"
59,Parts of the Body,bone,,,I use the word bone.,"1,2,4,7,14,30"
60,Parts of the Body,blood,,,I use the word blood.,"1,2,4,7,14,30"
61,Parts of the Body,heart,,,I use the word heart.,"1,2,4,7,14,30"
62,Parts of the Body,brain,,,I use the word brain.,"1,2,4,7,14,30"
63,Parts of the Body,muscle,,,I use the word muscle.,"1,2,4,7,14,30"
64,Family,family,,,I use the word family.,"1,2,4,7,14,30"
65,Family,parent,,,I use the word parent.,"1,2,4,7,14,30"
66,Family,father,,,I use the word father.,"1,2,4,7,14,30"
67,Family,mother,,,I use the word mother.,"1,2,4,7,14,30"
68,Family,son,,,I use the word son.,"1,2,4,7,14,30"
69,Family,daughter,,,I use the word daughter.,"1,2,4,7,14,30"
70,Family,brother,,,I use the word brother.,"1,2,4,7,14,30"
71,Family,sister,,,I use the word sister.,"1,2,4,7,14,30"
72,Family,husband,,,I use the word husband.,"1,2,4,7,14,30"
73,Family,wife,,,I use the word wife.,"1,2,4,7,14,30"
74,Family,grandfather,,,I use the word grandfather.,"1,2,4,7,14,30"
75,Family,grandmother,,,I use the word grandmother.,"1,2,4,7,14,30"
76,Family,uncle,,,I use the word uncle.,"1,2,4,7,14,30"
77,Family,aunt,,,I use the word aunt.,"1,2,4,7,14,30"
78,Family,cousin,,,I use the word cousin.,"1,2,4,7,14,30"
79,Family,baby,,,I use the word baby.,"1,2,4,7,14,30"
80,Family,teenager,,,I use the word teenager.,"1,2,4,7,14,30"
81,Family,relative,,,I use the word relative.,"1,2,4,7,14,30"
82,Family,marriage,,,I use the word marriage.,"1,2,4,7,14,30"
83,Family,couple,,,I use the word couple.,"1,2,4,7,14,30"
84,Family,partner,,,I use the word partner.,"1,2,4,7,14,30"
85,Family,home,,,I use the word home.,"1,2,4,7,14,30"
86,Jobs,job,,,I use the word job.,"1,2,4,7,14,30"
87,Jobs,work,,,I use the word work.,"1,2,4,7,14,30"
88,Jobs,worker,,,I use the word worker.,"1,2,4,7,14,30"
89,Jobs,teacher,,,I use the word teacher.,"1,2,4,7,14,30"
90,Jobs,doctor,,,I use the word doctor.,"1,2,4,7,14,30"
91,Jobs,nurse,,,I use the word nurse.,"1,2,4,7,14,30"
92,Jobs,engineer,,,I use the word engineer.,"1,2,4,7,14,30"
93,Jobs,lawyer,,,I use the word lawyer.,"1,2,4,7,14,30"
94,Jobs,farmer,,,I use the word farmer.,"1,2,4,7,14,30"
95,Jobs,driver,,,I use the word driver.,"1,2,4,7,14,30"
96,Jobs,chef,,,I use the word chef.,"1,2,4,7,14,30"
97,Jobs,artist,,,I use the word artist.,"1,2,4,7,14,30"
98,Jobs,writer,,,I use the word writer.,"1,2,4,7,14,30"
99,Jobs,manager,,,I use the word manager.,"1,2,4,7,14,30"
100,Jobs,designer,,,I use the word designer.,"1,2,4,7,14,30"
101,Jobs,dentist,,,I use the word dentist.,"1,2,4,7,14,30"
102,Jobs,pilot,,,I use the word pilot.,"1,2,4,7,14,30"
103,Jobs,police,,,I use the word police.,"1,2,4,7,14,30"
104,Jobs,officer,,,I use the word officer.,"1,2,4,7,14,30"
105,Jobs,builder,,,I use the word builder.,"1,2,4,7,14,30"
106,Jobs,scientist,,,I use the word scientist.,"1,2,4,7,14,30"
